epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,5054.5,1.3998,1.01509,1.27132,0.76455,0.55124,0.65195,0.40054,1.33588,0.95733,1.21306,0.0011882,0.0011882,0.0011882
43,5175.36,1.40095,1.01724,1.27007,0.76721,0.5516,0.65261,0.39992,1.34002,0.95711,1.21732,0.0011684,0.0011684,0.0011684
44,5293.96,1.39564,1.00582,1.26434,0.76541,0.55165,0.65328,0.40224,1.33107,0.95132,1.21487,0.0011486,0.0011486,0.0011486
45,5412.7,1.39436,1.00435,1.26457,0.76988,0.55525,0.65585,0.4027,1.33242,0.95978,1.21221,0.0011288,0.0011288,0.0011288
46,5532.73,1.38651,1.00133,1.26048,0.76681,0.5571,0.65733,0.40524,1.32759,0.94098,1.20762,0.001109,0.001109,0.001109
47,5653.88,1.38045,0.99573,1.25584,0.76497,0.55982,0.65841,0.40579,1.32184,0.94179,1.20609,0.0010892,0.0010892,0.0010892
48,5774.08,1.37277,0.9935,1.25712,0.7647,0.55649,0.65693,0.4059,1.32658,0.9408,1.21047,0.0010694,0.0010694,0.0010694
49,5893.85,1.38175,0.99144,1.25629,0.77161,0.5585,0.66053,0.4079,1.32386,0.93445,1.20742,0.0010496,0.0010496,0.0010496
50,6012.15,1.37656,0.99071,1.25349,0.77322,0.5615,0.66156,0.40971,1.31705,0.92919,1.20338,0.0010298,0.0010298,0.0010298
51,6131.18,1.37544,0.99302,1.25396,0.76816,0.56275,0.66237,0.41129,1.31516,0.93011,1.20071,0.00101,0.00101,0.00101
52,6251.06,1.37224,0.98889,1.25482,0.76444,0.56275,0.6597,0.41045,1.31065,0.93109,1.20154,0.0009902,0.0009902,0.0009902
53,6370.46,1.36954,0.98215,1.24771,0.76648,0.56222,0.66183,0.41162,1.30935,0.92713,1.19713,0.0009704,0.0009704,0.0009704
54,6489.6,1.36899,0.98671,1.25131,0.77278,0.56207,0.66284,0.41233,1.30894,0.92749,1.19806,0.0009506,0.0009506,0.0009506
55,6609.13,1.37185,0.9806,1.24815,0.77555,0.56482,0.66543,0.41229,1.30864,0.92194,1.19464,0.0009308,0.0009308,0.0009308
56,6728.08,1.35931,0.97626,1.24596,0.77081,0.56698,0.66496,0.41355,1.30621,0.92067,1.19477,0.000911,0.000911,0.000911
57,6846.3,1.36034,0.97377,1.24279,0.77649,0.56188,0.66506,0.41364,1.3047,0.91703,1.19436,0.0008912,0.0008912,0.0008912
58,6965.72,1.37191,0.97614,1.2429,0.77146,0.56478,0.66535,0.41348,1.30705,0.92035,1.19223,0.0008714,0.0008714,0.0008714
59,7086.67,1.35742,0.97035,1.24175,0.77949,0.5643,0.66722,0.41558,1.29988,0.91403,1.19033,0.0008516,0.0008516,0.0008516
60,7205.85,1.35586,0.96753,1.24033,0.776,0.56305,0.66698,0.41551,1.29905,0.91259,1.1904,0.0008318,0.0008318,0.0008318
61,7324.54,1.34953,0.96844,1.23904,0.7749,0.56502,0.66769,0.41744,1.29714,0.91217,1.18829,0.000812,0.000812,0.000812
62,7443.41,1.35672,0.9712,1.24063,0.78038,0.56467,0.66853,0.41797,1.29424,0.9135,1.18503,0.0007922,0.0007922,0.0007922
63,7564.69,1.34414,0.96214,1.23409,0.7771,0.56317,0.66729,0.41757,1.2915,0.91132,1.18409,0.0007724,0.0007724,0.0007724
64,7685.14,1.3453,0.95858,1.23366,0.77792,0.56535,0.66928,0.41818,1.29345,0.90566,1.18697,0.0007526,0.0007526,0.0007526
65,7804.04,1.34724,0.95812,1.23374,0.7755,0.56691,0.6687,0.41868,1.29139,0.90783,1.18669,0.0007328,0.0007328,0.0007328
66,7923.03,1.34322,0.95807,1.23784,0.77553,0.56937,0.67067,0.41987,1.28822,0.9052,1.18255,0.000713,0.000713,0.000713
67,8042.65,1.34186,0.95832,1.23396,0.77465,0.57007,0.67031,0.42004,1.28819,0.90457,1.18377,0.0006932,0.0006932,0.0006932
68,8161.83,1.3395,0.94868,1.22851,0.77768,0.56912,0.67079,0.42059,1.28934,0.90043,1.18057,0.0006734,0.0006734,0.0006734
69,8280.61,1.33224,0.94724,1.22622,0.77954,0.56925,0.67093,0.42091,1.28617,0.8986,1.18058,0.0006536,0.0006536,0.0006536
70,8399.69,1.34235,0.95287,1.23288,0.77478,0.57092,0.67263,0.4216,1.28432,0.89347,1.18035,0.0006338,0.0006338,0.0006338
71,8520.05,1.3361,0.95075,1.22806,0.78031,0.56889,0.67141,0.4224,1.28451,0.89774,1.17827,0.000614,0.000614,0.000614
72,8640.88,1.33413,0.94664,1.22663,0.78067,0.57053,0.67336,0.42251,1.28576,0.89681,1.17824,0.0005942,0.0005942,0.0005942
73,8761.57,1.33484,0.94619,1.22533,0.77944,0.57297,0.67331,0.42218,1.2835,0.89838,1.1787,0.0005744,0.0005744,0.0005744
74,8882.75,1.32863,0.94198,1.21996,0.78238,0.57112,0.67429,0.42324,1.28071,0.8896,1.17595,0.0005546,0.0005546,0.0005546
75,9004.99,1.32577,0.93722,1.21999,0.78071,0.57152,0.67384,0.42394,1.27847,0.89271,1.1738,0.0005348,0.0005348,0.0005348
76,9124.45,1.31631,0.93252,1.21921,0.78078,0.5718,0.67396,0.42412,1.27963,0.89176,1.17701,0.000515,0.000515,0.000515
77,9244.23,1.32701,0.93949,1.22208,0.77924,0.5734,0.67455,0.42442,1.27946,0.89017,1.17689,0.0004952,0.0004952,0.0004952
78,9363.48,1.32102,0.93294,1.21698,0.77421,0.57431,0.67412,0.42442,1.27711,0.8896,1.17578,0.0004754,0.0004754,0.0004754
79,9482.74,1.3109,0.92606,1.21558,0.77745,0.57356,0.67546,0.4258,1.2756,0.8861,1.1751,0.0004556,0.0004556,0.0004556
80,9603.48,1.31373,0.92794,1.21543,0.77821,0.57265,0.6752,0.42586,1.27447,0.88593,1.17354,0.0004358,0.0004358,0.0004358
81,9722.83,1.3138,0.92525,1.21464,0.7823,0.57107,0.67543,0.42595,1.27377,0.88712,1.17165,0.000416,0.000416,0.000416
82,9840.86,1.3085,0.924,1.21226,0.78408,0.57172,0.67529,0.42584,1.27438,0.88534,1.1724,0.0003962,0.0003962,0.0003962
83,9960.3,1.30778,0.92505,1.21192,0.78197,0.5722,0.67636,0.42708,1.27103,0.88351,1.17045,0.0003764,0.0003764,0.0003764
84,10080.4,1.30369,0.92076,1.209,0.78039,0.5734,0.67678,0.42738,1.27102,0.88093,1.17089,0.0003566,0.0003566,0.0003566
85,10200.7,1.30111,0.91673,1.20607,0.78333,0.57216,0.67654,0.42666,1.271,0.88284,1.16939,0.0003368,0.0003368,0.0003368
86,10320.5,1.30043,0.91643,1.20834,0.78335,0.57352,0.67678,0.42735,1.27096,0.88023,1.1695,0.000317,0.000317,0.000317
87,10441.2,1.29328,0.91199,1.20651,0.78074,0.5752,0.67786,0.42761,1.2705,0.88181,1.1691,0.0002972,0.0002972,0.0002972
88,10561,1.30326,0.9185,1.20792,0.78165,0.57425,0.67719,0.42761,1.2704,0.8812,1.17056,0.0002774,0.0002774,0.0002774
89,10680.1,1.29442,0.91045,1.20665,0.78048,0.57542,0.67778,0.4278,1.26923,0.87951,1.16998,0.0002576,0.0002576,0.0002576
90,10798.8,1.29023,0.9089,1.20246,0.78552,0.57259,0.67713,0.42786,1.26806,0.87929,1.16911,0.0002378,0.0002378,0.0002378
91,10915.5,1.26998,0.88187,1.19297,0.78192,0.574,0.67599,0.42681,1.27037,0.88094,1.16981,0.000218,0.000218,0.000218
92,11029.8,1.2592,0.87377,1.18898,0.78048,0.57577,0.67673,0.42692,1.271,0.88019,1.16915,0.0001982,0.0001982,0.0001982
93,11145.5,1.2564,0.86941,1.18739,0.78024,0.57503,0.67599,0.42692,1.27099,0.87924,1.16913,0.0001784,0.0001784,0.0001784
94,11259.6,1.25627,0.86942,1.18703,0.78092,0.57495,0.67677,0.42751,1.2704,0.87919,1.16928,0.0001586,0.0001586,0.0001586
95,11372.6,1.25324,0.86567,1.18347,0.78508,0.57466,0.67764,0.42752,1.26892,0.87863,1.16891,0.0001388,0.0001388,0.0001388
96,11486.4,1.25351,0.86467,1.18271,0.78147,0.57597,0.67753,0.4279,1.26746,0.87796,1.1674,0.000119,0.000119,0.000119
97,11601.3,1.24851,0.86216,1.1815,0.78406,0.57582,0.67787,0.42799,1.26777,0.87766,1.16715,9.92e-05,9.92e-05,9.92e-05
98,11716,1.2381,0.85811,1.17983,0.77996,0.57794,0.67778,0.42807,1.2677,0.87683,1.16751,7.94e-05,7.94e-05,7.94e-05
99,11830.9,1.24696,0.85973,1.18069,0.78354,0.57552,0.67788,0.4282,1.26737,0.87686,1.16773,5.96e-05,5.96e-05,5.96e-05
100,11944.6,1.24144,0.85608,1.17814,0.78166,0.57637,0.67821,0.42819,1.26765,0.87704,1.16817,3.98e-05,3.98e-05,3.98e-05
